iter	Passed	Remaining
0	1	1270
1	2	1130
2	3	1095
3	4	1073
4	5	1058
5	6	1055
6	7	1057
7	8	1084
8	9	1077
9	11	1094
10	12	1082
11	13	1072
12	13	1062
13	15	1058
14	16	1052
15	17	1046
16	18	1041
17	18	1035
18	20	1032
19	21	1034
20	22	1042
21	23	1056
22	24	1052
23	26	1059
24	26	1052
25	27	1046
26	28	1041
27	29	1038
28	30	1034
29	31	1031
30	32	1031
31	33	1027
32	35	1027
33	36	1029
34	37	1032
35	38	1034
36	39	1031
37	40	1033
38	41	1026
39	42	1020
40	43	1013
41	44	1006
42	45	1002
43	45	998
44	46	992
45	47	987
46	48	983
47	49	980
48	50	977
49	52	1005
50	54	1012
51	55	1015
52	56	1010
53	57	1005
54	58	1000
55	59	995
56	59	990
57	60	986
58	61	982
59	62	978
60	63	975
61	64	971
62	65	968
63	67	984
64	69	995
65	71	1016
66	72	1013
67	73	1009
68	74	1005
69	75	1001
70	76	998
71	77	995
72	78	990
73	78	986
74	79	982
75	80	980
76	82	984
77	83	987
78	84	986
79	86	989
80	87	987
81	88	985
82	88	979
83	89	977
84	90	975
85	91	971
86	92	968
87	93	964
88	93	961
89	94	958
90	96	961
91	98	976
92	99	973
93	101	973
94	101	970
95	102	966
96	103	962
97	104	959
98	105	955
99	105	953
100	106	950
101	107	947
102	108	944
103	109	941
104	110	939
105	111	937
106	112	937
107	113	938
108	114	935
109	115	935
110	116	933
111	117	930
112	118	928
113	119	925
114	119	922
115	120	920
116	121	916
117	122	914
118	123	911
119	123	908
120	124	906
121	125	903
122	126	904
123	128	906
124	129	905
125	130	905
126	131	902
127	132	899
128	132	897
129	133	895
130	134	893
131	135	891
132	136	888
133	137	886
134	138	884
135	138	882
136	139	881
137	141	881
138	142	881
139	143	881
140	144	880
141	145	878
142	146	876
143	147	875
144	148	873
145	148	871
146	149	869
147	150	867
148	151	865
149	152	863
150	153	861
151	154	860
152	155	858
153	156	857
154	157	857
155	158	857
156	159	856
157	160	856
158	161	854
159	162	852
160	163	849
161	163	847
162	164	845
163	165	843
164	166	841
165	167	840
166	168	838
167	169	837
168	169	835
169	170	834
170	172	834
171	173	834
172	174	833
173	175	833
174	176	831
175	177	829
176	178	828
177	179	826
178	179	825
179	180	823
180	181	821
181	182	819
182	183	818
183	184	816
184	185	815
185	186	815
186	187	814
187	188	814
188	189	813
189	190	813
190	191	811
191	192	809
192	193	808
193	194	806
194	194	804
195	195	803
196	196	801
197	197	799
198	198	798
199	199	796
200	200	795
201	201	794
202	202	795
203	203	794
204	204	793
205	205	793
206	206	791
207	207	789
208	208	787
209	209	786
210	209	785
211	210	783
212	211	782
213	212	780
214	213	779
215	214	778
216	215	776
217	216	776
218	217	776
219	218	775
220	219	774
221	220	773
222	221	772
223	222	770
224	223	769
225	224	767
226	224	766
227	225	764
228	226	763
229	227	762
230	228	760
231	229	759
232	230	758
233	231	758
234	232	758
235	233	757
236	235	757
237	236	755
238	236	754
239	237	752
240	238	751
241	239	749
242	240	748
243	241	747
244	241	745
245	242	744
246	243	743
247	244	742
248	245	740
249	246	740
250	248	740
251	249	739
252	250	738
253	251	737
254	251	736
255	252	734
256	253	733
257	254	731
258	255	730
259	256	728
260	257	727
261	257	726
262	258	725
263	259	724
264	262	727
265	263	727
266	264	725
267	265	725
268	266	724
269	267	722
270	268	721
271	269	720
272	270	719
273	270	717
274	271	716
275	272	715
276	273	713
277	274	712
278	275	711
279	276	711
280	277	711
281	278	709
282	279	708
283	280	707
284	281	706
285	282	705
286	283	704
287	284	703
288	286	703
289	287	703
290	288	702
291	289	701
292	290	700
293	291	699
294	292	699
295	293	698
296	294	697
297	295	696
298	296	695
299	297	694
300	298	692
301	299	691
302	299	690
303	300	688
304	301	687
305	302	686
306	303	685
307	304	684
308	305	683
309	307	685
310	309	685
311	311	686
312	312	686
313	313	685
314	315	685
315	316	684
316	317	684
317	318	683
318	319	682
319	320	681
320	322	681
321	323	681
322	324	679
323	325	679
324	326	678
325	327	676
326	328	675
327	329	674
328	330	673
329	330	671
330	331	670
331	332	669
332	333	668
333	334	667
334	335	666
335	336	665
336	338	665
337	339	664
338	340	663
339	341	662
340	341	660
341	342	659
342	343	658
343	344	656
344	345	655
345	346	654
346	347	653
347	347	651
348	348	650
349	349	649
350	350	648
351	352	648
352	353	647
353	354	646
354	355	645
355	356	644
356	357	643
357	358	642
358	358	640
359	359	639
360	360	638
361	361	637
362	362	636
363	363	634
364	364	633
365	365	632
366	366	631
367	367	631
368	368	630
369	369	629
370	370	628
371	371	627
372	372	626
373	373	624
374	374	623
375	375	622
376	375	621
377	376	619
378	377	618
379	378	617
380	379	616
381	380	615
382	381	614
383	383	614
384	384	614
385	385	613
386	386	612
387	387	611
388	388	610
389	389	608
390	390	607
391	391	606
392	392	605
393	393	604
394	393	603
395	394	602
396	395	601
397	397	601
398	398	600
399	399	599
400	400	598
401	401	596
402	402	595
403	403	594
404	403	593
405	404	592
406	405	590
407	406	589
408	407	588
409	408	587
410	409	586
411	410	585
412	411	585
413	413	584
414	414	583
415	415	583
416	416	581
417	417	580
418	417	579
419	418	578
420	419	577
421	420	575
422	421	574
423	422	573
424	423	572
425	423	571
426	424	570
